#wave          ISRF
   0.00100000      0.00000
   0.00101352      0.00000
   0.00102723      0.00000
   0.00104112      0.00000
   0.00105520      0.00000
   0.00106947      0.00000
   0.00108393      0.00000
   0.00109858      0.00000
   0.00111344      0.00000
   0.00112850      0.00000
   0.00114376      0.00000
   0.00115922      0.00000
   0.00117490      0.00000
   0.00119078      0.00000
   0.00120689      0.00000
   0.00122321      0.00000
   0.00123975      0.00000
   0.00125651      0.00000
   0.00127350      0.00000
   0.00129072      0.00000
   0.00130818      0.00000
   0.00132587      0.00000
   0.00134380      0.00000
   0.00136197      0.00000
   0.00138038      0.00000
   0.00139905      0.00000
   0.00141797      0.00000
   0.00143714      0.00000
   0.00145658      0.00000
   0.00147627      0.00000
   0.00149624      0.00000
   0.00151647      0.00000
   0.00153697      0.00000
   0.00155776      0.00000
   0.00157882      0.00000
   0.00160017      0.00000
   0.00162181      0.00000
   0.00164374      0.00000
   0.00166597      0.00000
   0.00168850      0.00000
   0.00171133      0.00000
   0.00173447      0.00000
   0.00175792      0.00000
   0.00178169      0.00000
   0.00180579      0.00000
   0.00183021      0.00000
   0.00185495      0.00000
   0.00188004      0.00000
   0.00190546      0.00000
   0.00193123      0.00000
   0.00195734      0.00000
   0.00198381      0.00000
   0.00201064      0.00000
   0.00203782      0.00000
   0.00206538      0.00000
   0.00209331      0.00000
   0.00212162      0.00000
   0.00215030      0.00000
   0.00217938      0.00000
   0.00220885      0.00000
   0.00223872      0.00000
   0.00226899      0.00000
   0.00229968      0.00000
   0.00233077      0.00000
   0.00236229      0.00000
   0.00239423      0.00000
   0.00242661      0.00000
   0.00245942      0.00000
   0.00249268      0.00000
   0.00252639      0.00000
   0.00256055      0.00000
   0.00259518      0.00000
   0.00263027      0.00000
   0.00266584      0.00000
   0.00270188      0.00000
   0.00273842      0.00000
   0.00277545      0.00000
   0.00281298      0.00000
   0.00285102      0.00000
   0.00288957      0.00000
   0.00292864      0.00000
   0.00296825      0.00000
   0.00300838      0.00000
   0.00304907      0.00000
   0.00309030      0.00000
   0.00313208      0.00000
   0.00317444      0.00000
   0.00321736      0.00000
   0.00326087      0.00000
   0.00330496      0.00000
   0.00334965      0.00000
   0.00339495      0.00000
   0.00344086      0.00000
   0.00348739      0.00000
   0.00353454      0.00000
   0.00358234      0.00000
   0.00363078      0.00000
   0.00367988      0.00000
   0.00372964      0.00000
   0.00378007      0.00000
   0.00383119      0.00000
   0.00388299      0.00000
   0.00393550      0.00000
   0.00398872      0.00000
   0.00404266      0.00000
   0.00409732      0.00000
   0.00415273      0.00000
   0.00420888      0.00000
   0.00426580      0.00000
   0.00432348      0.00000
   0.00438194      0.00000
   0.00444120      0.00000
   0.00450125      0.00000
   0.00456212      0.00000
   0.00462381      0.00000
   0.00468634      0.00000
   0.00474971      0.00000
   0.00481393      0.00000
   0.00487903      0.00000
   0.00494500      0.00000
   0.00501187      0.00000
   0.00507964      0.00000
   0.00514833      0.00000
   0.00521795      0.00000
   0.00528851      0.00000
   0.00536002      0.00000
   0.00543250      0.00000
   0.00550596      0.00000
   0.00558042      0.00000
   0.00565588      0.00000
   0.00573236      0.00000
   0.00580987      0.00000
   0.00588844      0.00000
   0.00596806      0.00000
   0.00604876      0.00000
   0.00613056      0.00000
   0.00621346      0.00000
   0.00629748      0.00000
   0.00638264      0.00000
   0.00646894      0.00000
   0.00655642      0.00000
   0.00664508      0.00000
   0.00673493      0.00000
   0.00682601      0.00000
   0.00691831      0.00000
   0.00701186      0.00000
   0.00710668      0.00000
   0.00720278      0.00000
   0.00730018      0.00000
   0.00739889      0.00000
   0.00749894      0.00000
   0.00760035      0.00000
   0.00770312      0.00000
   0.00780728      0.00000
   0.00791286      0.00000
   0.00801986      0.00000
   0.00812831      0.00000
   0.00823822      0.00000
   0.00834962      0.00000
   0.00846253      0.00000
   0.00857696      0.00000
   0.00869294      0.00000
